eta_A,eta_B,Sigma,dE_over_E0,dL_over_L0
  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  0.0000E+00,  1.0000E-01,  0.0000E+00,  0.0000E+00,  0.0000E+00
  0.0000E+00,  5.0000E-01,  0.0000E+00,  0.0000E+00,  0.0000E+00
  0.0000E+00,  1.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  0.0000E+00,  5.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.0000E-01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  1.2663E-16
  1.0000E-01,  1.0000E-01,  1.0000E-02,  0.0000E+00,  1.2663E-16
  1.0000E-01,  5.0000E-01,  5.0000E-02,  0.0000E+00,  1.2663E-16
  1.0000E-01,  1.0000E+00,  1.0000E-01,  0.0000E+00,  1.2663E-16
  1.0000E-01,  5.0000E+00,  5.0000E-01,  0.0000E+00,  1.2663E-16
  5.0000E-01,  0.0000E+00,  0.0000E+00,  4.3420E-16,  1.8608E-16
  5.0000E-01,  1.0000E-01,  5.0000E-02,  4.3420E-16,  1.8608E-16
  5.0000E-01,  5.0000E-01,  2.5000E-01,  4.3420E-16,  1.8608E-16
  5.0000E-01,  1.0000E+00,  5.0000E-01,  4.3420E-16,  1.8608E-16
  5.0000E-01,  5.0000E+00,  2.5000E+00,  4.3420E-16,  1.8608E-16
  1.0000E+00,  0.0000E+00,  0.0000E+00,  2.0659E-14,  5.0291E-15
  1.0000E+00,  1.0000E-01,  1.0000E-01,  2.0659E-14,  5.0291E-15
  1.0000E+00,  5.0000E-01,  5.0000E-01,  2.0659E-14,  5.0291E-15
  1.0000E+00,  1.0000E+00,  1.0000E+00,  2.0659E-14,  5.0291E-15
  1.0000E+00,  5.0000E+00,  5.0000E+00,  2.0659E-14,  5.0291E-15
  2.0000E+00,  0.0000E+00,  0.0000E+00,  8.8581E-13,  1.4781E-13
  2.0000E+00,  1.0000E-01,  2.0000E-01,  8.8581E-13,  1.4781E-13
  2.0000E+00,  5.0000E-01,  1.0000E+00,  8.8581E-13,  1.4781E-13
  2.0000E+00,  1.0000E+00,  2.0000E+00,  8.8581E-13,  1.4781E-13
  2.0000E+00,  5.0000E+00,  1.0000E+01,  8.8581E-13,  1.4781E-13
