t_s,omega_x,omega_y,omega_z
  0.00000000E+00,  1.00000000E-04,  1.00000000E-01,  1.00000000E-04
  1.00000000E+00,  7.02701384E-05,  1.00000017E-01,  9.82981493E-05
  2.00000000E+00,  4.09621045E-05,  1.00000028E-01,  9.71863824E-05
  3.00000000E+00,  1.18999640E-05,  1.00000033E-01,  9.66580258E-05
  4.00000000E+00, -1.70907417E-05,  1.00000032E-01,  9.67099076E-05
  5.00000000E+00, -4.61840423E-05,  1.00000026E-01,  9.73423395E-05
  6.00000000E+00, -7.55545831E-05,  1.00000014E-01,  9.85591176E-05
  7.00000000E+00, -1.05378674E-04,  9.99999963E-02,  1.00367546E-04
  8.00000000E+00, -1.35835346E-04,  9.99999718E-02,  1.02778481E-04
  9.00000000E+00, -1.67107429E-04,  9.99999403E-02,  1.05806393E-04
  1.00000000E+01, -1.99382646E-04,  9.99999008E-02,  1.09469460E-04
  1.10000000E+01, -2.32854740E-04,  9.99998526E-02,  1.13789669E-04
  1.20000000E+01, -2.67724639E-04,  9.99997944E-02,  1.18792952E-04
  1.30000000E+01, -3.04201659E-04,  9.99997249E-02,  1.24509344E-04
  1.40000000E+01, -3.42504764E-04,  9.99996423E-02,  1.30973156E-04
  1.50000000E+01, -3.82863874E-04,  9.99995447E-02,  1.38223188E-04
  1.60000000E+01, -4.25521252E-04,  9.99994298E-02,  1.46302959E-04
  1.70000000E+01, -4.70732949E-04,  9.99992947E-02,  1.55260965E-04
  1.80000000E+01, -5.18770349E-04,  9.99991363E-02,  1.65150976E-04
  1.90000000E+01, -5.69921787E-04,  9.99989506E-02,  1.76032354E-04
  2.00000000E+01, -6.24494288E-04,  9.99987333E-02,  1.87970408E-04
  2.10000000E+01, -6.82815399E-04,  9.99984792E-02,  2.01036791E-04
  2.20000000E+01, -7.45235161E-04,  9.99981821E-02,  2.15309923E-04
  2.30000000E+01, -8.12128197E-04,  9.99978348E-02,  2.30875466E-04
  2.40000000E+01, -8.83895967E-04,  9.99974291E-02,  2.47826832E-04
  2.50000000E+01, -9.60969163E-04,  9.99969551E-02,  2.66265748E-04
  2.60000000E+01, -1.04381029E-03,  9.99964015E-02,  2.86302862E-04
  2.70000000E+01, -1.13291645E-03,  9.99957549E-02,  3.08058401E-04
  2.80000000E+01, -1.22882227E-03,  9.99949999E-02,  3.31662899E-04
  2.90000000E+01, -1.33210316E-03,  9.99941182E-02,  3.57257968E-04
  3.00000000E+01, -1.44337870E-03,  9.99930886E-02,  3.84997149E-04
  3.10000000E+01, -1.56331634E-03,  9.99918865E-02,  4.15046824E-04
  3.20000000E+01, -1.69263542E-03,  9.99904828E-02,  4.47587211E-04
  3.30000000E+01, -1.83211141E-03,  9.99888439E-02,  4.82813436E-04
  3.40000000E+01, -1.98258052E-03,  9.99869304E-02,  5.20936689E-04
  3.50000000E+01, -2.14494469E-03,  9.99846962E-02,  5.62185481E-04
  3.60000000E+01, -2.32017692E-03,  9.99820877E-02,  6.06806995E-04
  3.70000000E+01, -2.50932701E-03,  9.99790421E-02,  6.55068548E-04
  3.80000000E+01, -2.71352776E-03,  9.99754862E-02,  7.07259164E-04
  3.90000000E+01, -2.93400160E-03,  9.99713347E-02,  7.63691273E-04
  4.00000000E+01, -3.17206781E-03,  9.99664877E-02,  8.24702539E-04
  4.10000000E+01, -3.42915011E-03,  9.99608288E-02,  8.90657826E-04
