t_s,theta_perp_rad,tau_gg_body_norm
  0.00000000E+00,  1.00000000E-03,  4.73430031E-13
  5.00000000E+04,  1.00023300E-03,  4.73540338E-13
  1.00000000E+05,  1.00093209E-03,  4.73871312E-13
  1.50000000E+05,  1.00209762E-03,  4.74423105E-13
  2.00000000E+05,  1.00373011E-03,  4.75195976E-13
  2.50000000E+05,  1.00583034E-03,  4.76190284E-13
  3.00000000E+05,  1.00839927E-03,  4.77406493E-13
  3.50000000E+05,  1.01143811E-03,  4.78845170E-13
  4.00000000E+05,  1.01494828E-03,  4.80506984E-13
  4.50000000E+05,  1.01893140E-03,  4.82392711E-13
  5.00000000E+05,  1.02338933E-03,  4.84503229E-13
  5.50000000E+05,  1.02832416E-03,  4.86839521E-13
  6.00000000E+05,  1.03373818E-03,  4.89402677E-13
  6.50000000E+05,  1.03963392E-03,  4.92193890E-13
  7.00000000E+05,  1.04601411E-03,  4.95214462E-13
  7.50000000E+05,  1.05288174E-03,  4.98465799E-13
  8.00000000E+05,  1.06024001E-03,  5.01949417E-13
  8.50000000E+05,  1.06809233E-03,  5.05666940E-13
  9.00000000E+05,  1.07644239E-03,  5.09620099E-13
  9.50000000E+05,  1.08529405E-03,  5.13810736E-13
  1.00000000E+06,  1.09465146E-03,  5.18240805E-13
  1.05000000E+06,  1.10451896E-03,  5.22912370E-13
  1.10000000E+06,  1.11490116E-03,  5.27827607E-13
  1.15000000E+06,  1.12580290E-03,  5.32988807E-13
  1.20000000E+06,  1.13722925E-03,  5.38398375E-13
  1.25000000E+06,  1.14918555E-03,  5.44058833E-13
  1.30000000E+06,  1.16167735E-03,  5.49972816E-13
  1.35000000E+06,  1.17471049E-03,  5.56143082E-13
  1.40000000E+06,  1.18829103E-03,  5.62572506E-13
  1.45000000E+06,  1.20242531E-03,  5.69264083E-13
  1.50000000E+06,  1.21711991E-03,  5.76220932E-13
  1.55000000E+06,  1.23238168E-03,  5.83446295E-13
  1.60000000E+06,  1.24821773E-03,  5.90943538E-13
  1.65000000E+06,  1.26463544E-03,  5.98716155E-13
  1.70000000E+06,  1.28164246E-03,  6.06767768E-13
  1.75000000E+06,  1.29924671E-03,  6.15102128E-13
  1.80000000E+06,  1.31745640E-03,  6.23723120E-13
  1.85000000E+06,  1.33628002E-03,  6.32634761E-13
  1.90000000E+06,  1.35572634E-03,  6.41841203E-13
  1.95000000E+06,  1.37580441E-03,  6.51346736E-13
  2.00000000E+06,  1.39652359E-03,  6.61155790E-13
  2.05000000E+06,  1.41789355E-03,  6.71272936E-13
  2.10000000E+06,  1.43992423E-03,  6.81702887E-13
  2.15000000E+06,  1.46262591E-03,  6.92450504E-13
  2.20000000E+06,  1.48600916E-03,  7.03520796E-13
  2.25000000E+06,  1.51008488E-03,  7.14918920E-13
  2.30000000E+06,  1.53486428E-03,  7.26650187E-13
  2.35000000E+06,  1.56035892E-03,  7.38720066E-13
  2.40000000E+06,  1.58658068E-03,  7.51134179E-13
  2.45000000E+06,  1.61354176E-03,  7.63898311E-13
  2.50000000E+06,  1.64125475E-03,  7.77018410E-13
  2.55000000E+06,  1.66973255E-03,  7.90500590E-13
  2.60000000E+06,  1.69898843E-03,  8.04351132E-13
  2.65000000E+06,  1.72903602E-03,  8.18576492E-13
  2.70000000E+06,  1.75988933E-03,  8.33183297E-13
  2.75000000E+06,  1.79156274E-03,  8.48178354E-13
  2.80000000E+06,  1.82407100E-03,  8.63568650E-13
  2.85000000E+06,  1.85742926E-03,  8.79361356E-13
  2.90000000E+06,  1.89165307E-03,  8.95563832E-13
  2.95000000E+06,  1.92675837E-03,  9.12183626E-13
  3.00000000E+06,  1.96276153E-03,  9.29228484E-13
  3.05000000E+06,  1.99967931E-03,  9.46706347E-13
  3.10000000E+06,  2.03752893E-03,  9.64625360E-13
  3.15000000E+06,  2.07632803E-03,  9.82993872E-13
  3.20000000E+06,  2.11609467E-03,  1.00182044E-12
  3.25000000E+06,  2.15684739E-03,  1.02111384E-12
  3.30000000E+06,  2.19860519E-03,  1.04088306E-12
  3.35000000E+06,  2.24138752E-03,  1.06113732E-12
  3.40000000E+06,  2.28521432E-03,  1.08188604E-12
  3.45000000E+06,  2.33010600E-03,  1.10313890E-12
  3.50000000E+06,  2.37608350E-03,  1.12490580E-12
  3.55000000E+06,  2.42316822E-03,  1.14719688E-12
  3.60000000E+06,  2.47138213E-03,  1.17002253E-12
  3.65000000E+06,  2.52074767E-03,  1.19339339E-12
  3.70000000E+06,  2.57128786E-03,  1.21732034E-12
  3.75000000E+06,  2.62302624E-03,  1.24181453E-12
  3.80000000E+06,  2.67598694E-03,  1.26688738E-12
  3.85000000E+06,  2.73019461E-03,  1.29255056E-12
  3.90000000E+06,  2.78567453E-03,  1.31881604E-12
  3.95000000E+06,  2.84245255E-03,  1.34569605E-12
  4.00000000E+06,  2.90055513E-03,  1.37320312E-12
  4.05000000E+06,  2.96000933E-03,  1.40135006E-12
  4.10000000E+06,  3.02084287E-03,  1.43014999E-12
  4.15000000E+06,  3.08308410E-03,  1.45961632E-12
  4.20000000E+06,  3.14676200E-03,  1.48976279E-12
  4.25000000E+06,  3.21190627E-03,  1.52060344E-12
  4.30000000E+06,  3.27854725E-03,  1.55215264E-12
  4.35000000E+06,  3.34671601E-03,  1.58442509E-12
  4.40000000E+06,  3.41644429E-03,  1.61743582E-12
  4.45000000E+06,  3.48776460E-03,  1.65120021E-12
  4.50000000E+06,  3.56071017E-03,  1.68573400E-12
  4.55000000E+06,  3.63531500E-03,  1.72105328E-12
  4.60000000E+06,  3.71161384E-03,  1.75717449E-12
  4.65000000E+06,  3.78964224E-03,  1.79411446E-12
  4.70000000E+06,  3.86943658E-03,  1.83189042E-12
  4.75000000E+06,  3.95103403E-03,  1.87051994E-12
  4.80000000E+06,  4.03447262E-03,  1.91002104E-12
  4.85000000E+06,  4.11979122E-03,  1.95041211E-12
  4.90000000E+06,  4.20702959E-03,  1.99171197E-12
  4.95000000E+06,  4.29622838E-03,  2.03393986E-12
  5.00000000E+06,  4.38742916E-03,  2.07711545E-12
