t_s,log_dX_over_dX0,delta_X
  0.00000000E+00, -5.60375086E-08,  9.99999944E-11
  1.00000000E+01,  1.62904783E+00,  5.09901727E-10
  2.00000000E+01,  2.30756088E+00,  1.00498818E-09
  3.00000000E+01,  2.71027845E+00,  1.50334609E-09
  4.00000000E+01,  2.99707098E+00,  2.00267921E-09
  5.00000000E+01,  3.22023062E+00,  2.50338927E-09
  6.00000000E+01,  3.40471332E+00,  3.01056638E-09
  7.00000000E+01,  3.57018117E+00,  3.55230283E-09
  8.00000000E+01,  3.74912082E+00,  4.24837148E-09
  9.00000000E+01,  3.96531386E+00,  5.27368189E-09
  1.00000000E+02,  4.09164865E+00,  5.98384630E-09
  1.10000000E+02,  4.09115205E+00,  5.98087545E-09
  1.20000000E+02,  4.11754620E+00,  6.14083736E-09
  1.30000000E+02,  4.17980698E+00,  6.53532374E-09
  1.40000000E+02,  4.24975708E+00,  7.00883843E-09
  1.50000000E+02,  4.31782355E+00,  7.50251616E-09
  1.60000000E+02,  4.38215403E+00,  8.00101921E-09
  1.70000000E+02,  4.44272835E+00,  8.50065528E-09
  1.80000000E+02,  4.49987096E+00,  9.00055166E-09
  1.90000000E+02,  4.55393041E+00,  9.50050845E-09
  2.00000000E+02,  4.60521981E+00,  1.00004962E-08
  2.10000000E+02,  4.65401552E+00,  1.05005793E-08
  2.20000000E+02,  4.70058325E+00,  1.10011318E-08
  2.30000000E+02,  4.74528145E+00,  1.15040179E-08
  2.40000000E+02,  4.78902351E+00,  1.20183953E-08
  2.50000000E+02,  4.83536125E+00,  1.25884051E-08
  2.60000000E+02,  4.89835098E+00,  1.34068516E-08
  2.70000000E+02,  5.01076131E+00,  1.50018903E-08
  2.80000000E+02,  5.13224935E+00,  1.69397724E-08
  2.90000000E+02,  5.11362933E+00,  1.66272720E-08
  3.00000000E+02,  5.05724805E+00,  1.57157432E-08
  3.10000000E+02,  5.05475648E+00,  1.56766349E-08
  3.20000000E+02,  5.07768149E+00,  1.60401731E-08
  3.30000000E+02,  5.10649556E+00,  1.65090789E-08
  3.40000000E+02,  5.13592693E+00,  1.70021845E-08
